"filename", "language", "Python", "YAML", "JSON", "Shell Script", "pip requirements", "Markdown", "Docker", "comment", "blank", "total"
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\hub\yolov5-p34.yaml", "YAML", 0, -31, 0, 0, 0, 0, 0, -5, -7, -43
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\hub\yolov5-p6.yaml", "YAML", 0, -43, 0, 0, 0, 0, 0, -5, -10, -58
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\hub\yolov5-p7.yaml", "YAML", 0, -52, 0, 0, 0, 0, 0, -5, -12, -69
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\hub\yolov5-panet.yaml", "YAML", 0, -37, 0, 0, 0, 0, 0, -5, -8, -50
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\hub\yolov5l6.yaml", "YAML", 0, -47, 0, 0, 0, 0, 0, -5, -10, -62
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\hub\yolov5m6.yaml", "YAML", 0, -47, 0, 0, 0, 0, 0, -5, -10, -62
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\hub\yolov5n6.yaml", "YAML", 0, -47, 0, 0, 0, 0, 0, -5, -10, -62
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\hub\yolov5s-LeakyReLU.yaml", "YAML", 0, -38, 0, 0, 0, 0, 0, -5, -8, -51
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\hub\yolov5s-ghost.yaml", "YAML", 0, -37, 0, 0, 0, 0, 0, -5, -8, -50
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\hub\yolov5s-transformer.yaml", "YAML", 0, -37, 0, 0, 0, 0, 0, -5, -8, -50
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\hub\yolov5s6.yaml", "YAML", 0, -47, 0, 0, 0, 0, 0, -5, -10, -62
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\hub\yolov5x6.yaml", "YAML", 0, -47, 0, 0, 0, 0, 0, -5, -10, -62
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\segment\yolov5l-seg.yaml", "YAML", 0, -37, 0, 0, 0, 0, 0, -5, -8, -50
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\segment\yolov5m-seg.yaml", "YAML", 0, -37, 0, 0, 0, 0, 0, -5, -8, -50
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\segment\yolov5n-seg.yaml", "YAML", 0, -37, 0, 0, 0, 0, 0, -5, -8, -50
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\segment\yolov5s-seg.yaml", "YAML", 0, -37, 0, 0, 0, 0, 0, -5, -8, -50
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\segment\yolov5x-seg.yaml", "YAML", 0, -37, 0, 0, 0, 0, 0, -5, -8, -50
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\tf.py", "Python", -620, 0, 0, 0, 0, 0, 0, -42, -112, -774
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\yolo.py", "Python", -414, 0, 0, 0, 0, 0, 0, -14, -59, -487
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\yolov5l.yaml", "YAML", 0, -37, 0, 0, 0, 0, 0, -5, -8, -50
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\yolov5m.yaml", "YAML", 0, -37, 0, 0, 0, 0, 0, -5, -8, -50
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\yolov5n.yaml", "YAML", 0, -37, 0, 0, 0, 0, 0, -5, -8, -50
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\yolov5s.yaml", "YAML", 0, -37, 0, 0, 0, 0, 0, -5, -8, -50
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\yolov5x.yaml", "YAML", 0, -37, 0, 0, 0, 0, 0, -5, -8, -50
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\requirements.txt", "pip requirements", 0, 0, 0, 0, -18, 0, 0, -26, -7, -51
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\segment\predict.py", "Python", -253, 0, 0, 0, 0, 0, 0, -20, -34, -307
